country,year_at_age,crisis_name,crisis_type_m
Afghanistan,1969,Other Factors,3
Afghanistan,1970,Other Factors,3
Afghanistan,1971,Other Factors,3
Afghanistan,1972,Other Factors,3
Afghanistan,1987,Wartime,1
Afghanistan,1988,Wartime,1
Afghanistan,1989,Wartime,1
Afghanistan,1990,Wartime,1
Afghanistan,1991,Wartime,1
Afghanistan,1992,Wartime,1
Afghanistan,1993,Wartime,1
Afghanistan,1994,Wartime,1
Afghanistan,1996,Wartime,1
Afghanistan,1997,Wartime,1
Afghanistan,1998,Wartime,1
Afghanistan,1999,Wartime,1
Afghanistan,2000,Wartime,1
Afghanistan,2001,Wartime,1
Algeria,1961,Other Factors,3
Algeria,1971,Other Factors,3
Algeria,1986,Other Factors,3
Algeria,1987,Other Factors,3
Algeria,1988,Other Factors,3
Argentina,1900,Other Factors,3
Argentina,1913,Other Factors,3
Argentina,1914,Other Factors,3
Argentina,1915,Other Factors,3
Argentina,1916,Other Factors,3
Argentina,1917,Other Factors,3
Argentina,1930,Other Factors,3
Argentina,1931,Other Factors,3
Argentina,1932,Other Factors,3
Argentina,1948,Wartime,1
Argentina,1949,Wartime,1
Argentina,1950,Wartime,1
Argentina,1951,Wartime,1
Argentina,1952,Wartime,1
Argentina,1959,Other Factors,3
Argentina,1981,Other Factors,3
Argentina,1982,Other Factors,3
Argentina,1989,Other Factors,3
Argentina,1990,Other Factors,3
Argentina,1999,Other Factors,3
Argentina,2000,Other Factors,3
Argentina,2001,Other Factors,3
Argentina,2002,Other Factors,3
Australia,1911,Other Factors,3
Australia,1912,Other Factors,3
Australia,1913,Other Factors,3
Australia,1914,Other Factors,3
Australia,1915,Other Factors,3
Australia,1916,Other Factors,3
Australia,1917,Other Factors,3
Australia,1918,Other Factors,3
Australia,1927,Other Factors,3
Australia,1928,Other Factors,3
Australia,1929,Other Factors,3
Australia,1930,Other Factors,3
Australia,1931,Other Factors,3
Australia,1944,Wartime,1
Australia,1945,Wartime,1
Australia,1946,Wartime,1
Austria,1913,Other Factors,3
Austria,1914,Other Factors,3
Austria,1915,Other Factors,3
Austria,1916,Other Factors,3
Austria,1917,Other Factors,3
Austria,1918,Other Factors,3
Austria,1930,Other Factors,3
Austria,1931,Other Factors,3
Austria,1932,Other Factors,3
Austria,1933,Other Factors,3
Austria,1942,Wartime,1
Austria,1943,Wartime,1
Austria,1944,Wartime,1
Austria,1945,Wartime,1
Bangladesh,1971,Wartime,1
Bangladesh,1972,Wartime,1
Bangladesh,1973,Wartime,1
Bolivia,1930,Other Factors,3
Bolivia,1931,Other Factors,3
Bolivia,1932,Other Factors,3
Bolivia,1953,Wartime,1
Bolivia,1956,Other Factors,3
Bolivia,1957,Other Factors,3
Bolivia,1979,Other Factors,3
Bolivia,1980,Other Factors,3
Bolivia,1981,Other Factors,3
Bolivia,1982,Other Factors,3
Bolivia,1983,Other Factors,3
Bolivia,1984,Other Factors,3
Bolivia,1985,Other Factors,3
Bolivia,1986,Other Factors,3
Bosnia Herzegovina,1956,Wartime,1
Bosnia Herzegovina,1990,Post-Communist Dissolution,2
Bosnia Herzegovina,1991,Post-Communist Dissolution,2
Bosnia Herzegovina,1992,Post-Communist Dissolution,2
Bosnia Herzegovina,1993,Post-Communist Dissolution,2
Brazil,1929,Other Factors,3
Brazil,1930,Other Factors,3
Brazil,1931,Other Factors,3
Brazil,1982,Other Factors,3
Brazil,1983,Other Factors,3
Brazil,1988,Other Factors,3
Brazil,1989,Other Factors,3
Brazil,1990,Other Factors,3
Brazil,1991,Other Factors,3
Brazil,1992,Other Factors,3
Cambodia,1969,Other Factors,3
Cambodia,1970,Other Factors,3
Cambodia,1971,Other Factors,3
Cambodia,1972,Other Factors,3
Cambodia,1974,Wartime,1
Cambodia,1975,Wartime,1
Cambodia,1987,Other Factors,3
Cambodia,1988,Other Factors,3
Cambodia,1989,Other Factors,3
Cambodia,1990,Other Factors,3
Cameroon,1987,Other Factors,3
Cameroon,1988,Other Factors,3
Cameroon,1989,Other Factors,3
Cameroon,1990,Other Factors,3
Cameroon,1991,Other Factors,3
Cameroon,1992,Other Factors,3
Cameroon,1993,Other Factors,3
Cameroon,1994,Other Factors,3
Canada,1918,Other Factors,3
Canada,1919,Other Factors,3
Canada,1920,Other Factors,3
Canada,1921,Other Factors,3
Canada,1929,Other Factors,3
Canada,1930,Other Factors,3
Canada,1931,Other Factors,3
Canada,1932,Other Factors,3
Canada,1933,Other Factors,3
Chile,1913,Other Factors,3
Chile,1914,Other Factors,3
Chile,1915,Other Factors,3
Chile,1919,Other Factors,3
Chile,1930,Other Factors,3
Chile,1931,Other Factors,3
Chile,1932,Other Factors,3
Chile,1947,Wartime,1
Chile,1972,Other Factors,3
Chile,1973,Other Factors,3
Chile,1974,Other Factors,3
